位置 X,位置 Y,內容
-105.4563,154.9075,1
-15.4563,134.9075,2
74.5437,134.9075,3
164.5437,134.9075,4
254.5437,134.9075,5
344.5437,134.9075,6
434.5437,134.9075,7
524.5437,134.9075,8
614.5437,134.9075,9
699.0837,134.9075,10
789.0837,134.9075,11
879.0837,134.9075,12
969.0837,134.9075,13
1059.0837,134.9075,14
1149.0837,134.9075,15
1239.0837,134.9075,16
1329.0837,134.9075,17
1419.0837,134.9075,18
1509.0837,134.9075,19
1599.0837,134.9075,20
1689.0837,134.9075,21
1779.0837,134.9075,22
1869.0837,134.9075,23
1959.0837,134.9075,24
2049.0837,134.9075,25
2139.0837,134.9075,26
2229.0837,134.9075,27
2319.0837,134.9075,28
2409.0837,134.9075,29
2499.0837,134.9075,30
2589.0837,134.9075,31
2679.0837,134.9075,32
2769.0837,134.9075,33
2859.0837,134.9075,34
2949.0837,134.9075,35
3039.0837,134.9075,36
3129.0837,134.9075,37
3219.0837,134.9075,38
3309.0837,134.9075,39
3399.0837,134.9075,40
3489.0837,134.9075,41
3579.0837,134.9075,42
3669.0837,134.9075,43
3759.0837,134.9075,44
3849.0837,134.9075,45
3939.0837,134.9075,46
4029.0837,134.9075,47
4119.0837,134.9075,48
4209.0837,134.9075,49
4299.0837,134.9075,50
4389.0837,134.9075,51
4479.0837,134.9075,52
4569.0837,134.9075,53
4659.0837,134.9075,54
4749.0837,134.9075,55
4839.0837,134.9075,56
4929.0837,134.9075,57
5019.0837,134.9075,58
5109.0837,134.9075,59
5199.0837,134.9075,60
5289.0837,134.9075,61
5379.0837,134.9075,62
5469.0837,134.9075,63
5559.0837,134.9075,64
5649.0837,134.9075,65
5739.0837,134.9075,66
5829.0837,134.9075,67
5919.0837,134.9075,68
6009.0837,134.9075,69
6099.0837,134.9075,70
6189.0837,134.9075,71
6279.0837,134.9075,72
6369.0837,134.9075,73
6459.0837,134.9075,74
6549.0837,134.9075,75
6639.0837,134.9075,76
6729.0837,134.9075,77
6819.0837,134.9075,78
6909.0837,134.9075,79
6999.0837,134.9075,80
7089.0837,134.9075,81
7179.0837,134.9075,82
7269.0837,134.9075,83
7359.0837,134.9075,84
7449.0837,134.9075,85
7539.0837,134.9075,86
7629.0837,134.9075,87
7719.0837,134.9075,88
7809.0837,134.9075,89
7899.0837,134.9075,90
7989.0837,134.9075,91
8079.0837,134.9075,92
8169.0837,134.9075,93
8259.0837,134.9075,94
8349.0837,134.9075,95
8439.0837,134.9075,96
8529.0837,134.9075,97
8619.0837,134.9075,98
8709.0837,134.9075,99
8793.575,134.9075,100
8883.575,134.9075,101
8973.575,134.9075,102
9063.575,134.9075,103
9153.575,134.9075,104
9243.575,134.9075,105
9333.575,134.9075,106
9423.575,134.9075,107
9513.575,134.9075,108
9603.575,134.9075,109
9693.575,134.9075,110
9783.575,134.9075,111
9873.575,134.9075,112
9963.575,134.9075,113
10053.575,134.9075,114
10143.575,134.9075,115
10233.575,134.9075,116
10323.575,134.9075,117
10413.575,134.9075,118
10503.575,134.9075,119
10593.575,134.9075,120
10683.575,134.9075,121
10773.575,134.9075,122
10863.575,134.9075,123
10953.575,134.9075,124
11043.575,134.9075,125
11133.575,134.9075,126
11223.575,134.9075,127
11313.575,134.9075,128
11403.575,134.9075,129
11493.575,134.9075,130
11583.575,134.9075,131
11673.575,134.9075,132
11763.575,134.9075,133
11853.575,134.9075,134
11943.575,134.9075,135
12033.575,134.9075,136
12123.575,134.9075,137
12213.575,134.9075,138
12303.575,134.9075,139
12393.575,134.9075,140
12483.575,134.9075,141
12573.575,134.9075,142
12663.575,134.9075,143
12753.575,134.9075,144
12843.575,134.9075,145
12933.575,134.9075,146
13023.575,134.9075,147
13113.575,134.9075,148
13203.575,134.9075,149
13293.575,134.9075,150
13383.575,134.9075,151
13473.575,134.9075,152
13563.575,134.9075,153
13653.575,134.9075,154
13743.575,134.9075,155
13833.575,134.9075,156
13923.575,134.9075,157
13974.4602,59.9683,158
14021.1475,-16.9751,159
14067.8349,-93.9185,160
14060.3185,-183.4944,161
14060.3185,-273.4944,162
14060.3185,-363.4944,163
14060.3185,-453.4944,164
14060.3185,-543.4944,165
14060.3185,-633.4944,166
14060.3185,-723.4944,167
14060.3185,-813.4944,168
14060.3185,-903.4944,169
14060.3185,-993.4944,170
14060.3185,-1083.4944,171
14060.3185,-1173.4944,172
14060.3185,-1263.4944,173
14060.3185,-1353.4944,174
14060.3185,-1443.4944,175
14060.3185,-1533.4944,176
14060.3185,-1623.4944,177
14060.3185,-1713.4944,178
14060.3185,-1803.4944,179
14060.3185,-1893.4944,180
14060.3185,-1983.4944,181
14060.3185,-2073.4944,182
14060.3185,-2163.4944,183
14060.3185,-2253.4944,184
14060.3185,-2343.4944,185
14060.3185,-2433.4944,186
14060.3185,-2523.4944,187
14060.3185,-2613.4944,188
14060.3185,-2703.4944,189
14060.3185,-2793.4944,190
14060.3185,-2883.4944,191
14060.3185,-2973.4944,192
14060.3185,-3063.4944,193
14060.3185,-3153.4944,194
14060.3185,-3243.4944,195
14060.3185,-3333.4944,196
14060.3185,-3423.4944,197
14060.3185,-3513.4944,198
14060.3185,-3603.4944,199
14060.3185,-3693.4944,200
14060.3185,-3783.4944,201
14060.3185,-3873.4944,202
14060.3185,-3963.4944,203
14060.3185,-4053.4944,204
14060.3185,-4143.4944,205
14060.3185,-4233.4944,206
14060.3185,-4323.4944,207
14060.3185,-4413.4944,208
14060.3185,-4503.4944,209
14060.3185,-4593.4944,210
14060.3185,-4683.4944,211
14060.3185,-4773.4944,212
14060.3185,-4863.4944,213
